Título;ISSN impresa;ISSN en linea;Instituto;URL
Bonplandia;0524-0476;1853-8460;Instituto de Botánica del Nordeste (IBONE);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8460&lng=es&nrm=iso
CELEHIS (Mar del Plata);;2313-9463;Universidad Nacional de Mar del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2313-9463&lng=es&nrm=iso
Ciclos en la historia, la economía y la sociedad;;1851-3735;Fundación de Investigaciones Históricas, Económicas y Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3735&lng=es&nrm=iso
Ciencia del suelo;;1850-2067;Asociación Argentina de la Ciencia del Suelo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-2067&lng=es&nrm=iso
Ciencia Veterinaria;1515-1883;1853-8495;Universidad Nacional de La Pampa. Facultad de Ciencias Veterinarias;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-8495&lng=es&nrm=iso
Ciencia, docencia y tecnología;;1851-1716;Universidad Nacional de Entre Ríos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1716&lng=es&nrm=iso
Ciencias administrativas;0009-6784;2314-3738;Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-3738&lng=es&nrm=iso
Circe de clásicos y modernos;;1851-1724;Instituto de Estudios Clásicos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1724&lng=es&nrm=iso
Clío y asociados;;2362-3063;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-3063&lng=es&nrm=iso
Comechingonia ;;1851-0027;AREA DE ETNOHISTORIA Y ARQUEOLOGÍA C.E.H. PROF. CARLOS S.A. SEGRETI - U.A. CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-0027&lng=es&nrm=iso
Costos y gestión;;2545-8329;Instituto Argentino de Profesores Universitarios de Costos;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-8329&lng=es&nrm=iso
Cuaderno urbano;;1853-3655;Universidad Nacional del Nordeste;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3655&lng=es&nrm=iso
Cuadernos de antropología social;;1850-275X;Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Ciencias Antropológicas. Sección de Antropología Social;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-275X&lng=es&nrm=iso
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;;1668-8104;Universidad Nacional de Jujuy. Facultad de Humanidades y Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-8104&lng=es&nrm=iso
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos;;1853-3523;Centro de Estudios en Diseño y Comunicación, Facultad de Diseño y Comunicación, Universidad de Palermo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3523&lng=es&nrm=iso
Cuadernos del CILHA;;1852-9615;Centro Interdisciplinario de Literatura Hispanoamericana, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-9615&lng=es&nrm=iso
Cuyo;;1853-3175;Instituto de Filosofía Argentina y Americana. Facultad de Filosofía y Letras. Universidad Nacional de Cuyo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-3175&lng=es&nrm=iso
Darwiniana, nueva serie;0011-6793;1850-1699;Instituto de Botánica Darwinion & Museo Botánico de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0011-6793&lng=es&nrm=iso
Delito y sociedad;0328-0101;2468-9963;Ediciones UNL.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2468-9963&lng=es&nrm=iso
Diaeta;;1852-7337;Asociación Argentina de Licenciados en Nutrición (AALEN);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7337&lng=es&nrm=iso
Educación Física y Ciencia;;2314-2561;Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-2561&lng=es&nrm=iso
El hornero;0073-3407;1850-4884;Aves Argentinas/Asociación Ornitológica del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0073-3407&lng=es&nrm=iso
El taco en la brea;;2362-4191;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2362-4191&lng=es&nrm=iso
Enfoques;;1669-2721;Dirección Editorial UAP, Universidad Adventista del Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-2721&lng=es&nrm=iso
Espacios en blanco. Serie indagaciones ;1515-9485;2313-9927;Núcleo de Estudios Educacionales y Sociales, Facultad de Ciencias Humanas, Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1515-9485&lng=es&nrm=iso
Estudios del trabajo;0327-5744;2545-7756;Asociación Argentina de Especialistas en Estudios del Trabajo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-7756&lng=es&nrm=iso
Estudios económicos;;2525-1295;Editorial de la Universidad Nacional del Sur;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2525-1295&lng=es&nrm=iso
Estudios Socioterritoriales;;1853-4392;Centro de Investigaciones Geográficas CIG-Instituto de Geografía, Historia y Ciencias Sociales CIG-IGEHCS CONICET/UNCPBA;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-4392&lng=es&nrm=iso
Folia Histórica del Nordeste;0325-8238;2525-1627;Instituto de Investigaciones Geohistóricas- Conicet Instituto de Historia-Facultad de Humanidades-UNNE;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-8238&lng=es&nrm=iso
Hematología;;2250-8309;Sociedad Argentina de Hematología;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-8309&lng=es&nrm=iso
Historia & Guerra;;2796-8650;Grupo de Estudios Históricos sobre la Guerra  Instituto Ravignani, unidad ejecutora Universidad de Buenos Aires/CONICET;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2796-8650&lng=es&nrm=iso
Historia de la educación - anuario;;2313-9277;Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2313-9277&lng=es&nrm=iso
Información, cultura y sociedad;1514-8327;1851-1740;Instituto de Investigaciones Bibliotecológicas (INIBI), Facultad de Filosofía y Letras, Universidad de Buenos Aires.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1740&lng=es&nrm=iso
Intersecciones en antropología;;1850-373X;Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-373X&lng=es&nrm=iso
Intersecciones en comunicación;;2250-4184;Universidad Nacional del Centro de La Provincia de Buenos Aires, Facultad de Ciencias Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2250-4184&lng=es&nrm=iso
Lilloa;0075-9481;2346-9641;Fundación Miguel Lillo;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2346-9641&lng=es&nrm=iso
Medicina (Buenos Aires);0025-7680;1669-9106;Fundación Revista Medicina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0025-7680&lng=es&nrm=iso
Memoria americana;;1851-3751;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras, Universidad de Buenos Aires.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3751&lng=es&nrm=iso
Mora (Buenos Aires);;1853-001X;Universidad de Buenos Aires. Facultad de Filosofía y Letras.;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-001X&lng=es&nrm=iso
Multequina;;1852-7329;Dirección de Recursos Naturales Renovables de Mendoza, Instituto Argentino de Investigaciones de las Zonas Aridas (IADIZA-CONICET);https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7329&lng=es&nrm=iso
Mundo agrario;;1515-5994;Centro de Estudios Histórico-Rurales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1515-5994&lng=es&nrm=iso
Nuevo Itinerario;;1850-3578;Universidad Nacional del Nordeste;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1850-3578&lng=es&nrm=iso
Olivar;;1852-4478;Centro de Teoría y Crítica Literaria, Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La PLata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4478&lng=es&nrm=iso
Palabra clave;;1853-9912;Facultad de Humanidades y Ciencias de la Educación, Universidad Nacional de La Plata;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-9912&lng=es&nrm=iso
Pampa (Santa Fe);;2314-0208;Ediciones UNL;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2314-0208&lng=es&nrm=iso
Papeles de trabajo - Centro de Estudios Interdisciplinarios en Etnolingüística y Antropología Socio-Cultural;;1852-4508;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro Interdisciplinario de Estudios Etnolingüísticos y Antropológicos Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4508&lng=es&nrm=iso
Población y sociedad;0328-3445;1852-8562;Instituto Superior de Estudios Sociales;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-8562&lng=es&nrm=iso
Praxis educativa;0328-9702;2313-934X;UNLPam;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0328-9702&lng=es&nrm=iso
Prismas;;1852-0499;Centro de Historia Intelectual, Departamento de Ciencias Sociales, Universidad Nacional de Quilmes;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-0499&lng=es&nrm=iso
Prudentia Iuris;;2524-9525;Universidad Católica Argentina;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2524-9525&lng=es&nrm=iso
Quinto sol;;1851-2879;Instituto de Estudios Socio-Históricos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-2879&lng=es&nrm=iso
RASAL lingüística;;2618-3455;SOCIEDAD ARGENTINA DE ESTUDIO LINGÜÍSTICOS;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2618-3455&lng=es&nrm=iso
Recial;;2718-658X;Universidad Nacional de Córdoba;https://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2718-658X&lng=es&nrm=iso
