Título;ISSN impresa;ISSN en linea;Área;Instituto;URL
Anuario tarea (Ciudad Autónoma de Buenos Aires. En línea);;2469-0422;Ciencias sociales y humanidades;Universidad Nacional de San Martín;https://www.caicyt-conicet.gov.ar/sitio/anuario-tarea-ciudad-autonoma-de-buenos-aires-en-linea/
Aportes para la integración latinoamericana;;2468-9912;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/aportes-para-la-integracion-latinoamericana/
Apuntes de investigación del CECYP;0329-2142;1851-9814;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/apuntes-de-investigacion-del-cecyp/
Archivos argentinos de pediatría;0325-0075;1668-3501;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/archivos-argentinos-de-pediatria/
Archivos de historia del movimiento obrero y la izquierda (En línea);;2683-9601;Ciencias sociales y humanidades;Instituto de Historia Argtina y Americana “Dr Emilio Ravignani”, Facultad de Filosofía y Letras, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/archivos-de-historia-del-movimiento-obrero-y-la-izquierda-en-linea/
Archivos de medicina familiar y general;1668-8341;2314-159X;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/archivos-de-medicina-familiar-y-general/
Area (En línea);;2591-5312;Ciencias sociales y humanidades;Facultad de Arquitectura, Diseño y Urbanismo, Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/area-en-linea/
Argentinian journal of respiratory and physical therapy;;2618-4095;Ciencias biológicas y de la salud;Asociación Civil Citífica de Difusión y Promoción de la Kinesiología;https://www.caicyt-conicet.gov.ar/sitio/argentinian-journal-of-respiratory-and-physical-therapy/
Argumentos (Buenos Aires);;1666-8979;Ciencias sociales y humanidades;Instituto de Investigaciones Gino Germani;https://www.caicyt-conicet.gov.ar/sitio/argumentos-buenos-aires/
Arqueología (En línea);0327-5159;1853-8126;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/arqueologia-en-linea/
Arquisur revista (En línea);;2250-4206;Ciencias sociales y humanidades;Facultad de Arquitectura, Diseño y Urbanismo, Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/arquisur-revista-en-linea/
Artilugio (Córdoba);;2408-462X;Ciencias sociales y humanidades;Facultad de Artes, Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/artilugio-cordoba/
Astrolabio (Córdoba);;1668-7515;Ciencias sociales y humanidades;Ctro de Investigaciones y Estudios sobre Cultura y Sociedad;https://www.caicyt-conicet.gov.ar/sitio/astrolabio-cordoba/
Atek Na (Ciudad Autónoma de Buenos Aires. En línea);;2422-6726;Ciencias sociales y humanidades;Universidad de Luján;https://www.caicyt-conicet.gov.ar/sitio/atek-na-ciudad-autonoma-de-buenos-aires-en-linea/
Austral comunicación;2313-9129;2313-9137;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/austral-comunicacion/
Avá (Posadas);1515-2413;1851-1694;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ava-posadas/
Avances del Cesor;1514-3899;2422-6580;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/avances-del-cesor/
Avatares de la comunicación y la cultura;;1853-5925;Ciencias sociales y humanidades;Facultad de cicias Sociales Universidad de Buos Aires;https://www.caicyt-conicet.gov.ar/sitio/avatares-de-la-comunicacion-y-la-cultura/
BAG Journal of basic applied genetics;1666-0390;1852-6233;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/bag-journal-of-basic-applied-genetics/
Biología acuática (En línea);;1668-4869;Ciencias exactas y naturales;Universidad de La Plata;https://www.caicyt-conicet.gov.ar/sitio/biologia-acuatica-en-linea/
Bioquímica y Patología Clínica (En línea);;2684-0359;Ciencias biológicas y de la salud;Asociación Bioquímica Argtina ;https://www.caicyt-conicet.gov.ar/sitio/bioquimica-y-patologia-clinica-en-linea/
Boletín de arte (La Plata. En línea);;2314-2502;Ciencias sociales y humanidades;Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/boletin-de-arte-la-plata-en-linea/
Boletín de estética;1668-7132;2408-4417;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/boletin-de-estetica/
Boletín de estudios geográficos (En línea);;2525-1813;Ciencias sociales y humanidades;Facultad de Filosofía y letras, Universidad Nacional de Cuyo;https://www.caicyt-conicet.gov.ar/sitio/boletin-de-estudios-geograficos-en-linea/
Boletín de la Sociedad Argentina de Botánica;0373-580X;1851-2372;Ciencias exactas y naturales;;https://www.caicyt-conicet.gov.ar/sitio/boletin-de-la-sociedad-argentina-de-botanica/
Boletín de literatura comparada;0325-3775;2683-8397;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/boletin-de-literatura-comparada/
Boletín del Instituto de Historia Argentina y Americana Dr Emilio Ravignani;0524-9767;1850-2563;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/boletin-del-instituto-de-historia-argentina-y-americana-dr-emilio-ravignani/
Boletín geográfico (Neuquén);0326-1735;2313-903X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/boletin-geografico-neuquen/
Bonplandia;0524-0476;1853-8460;Ciencias biológicas y de la salud;;https://www.caicyt-conicet.gov.ar/sitio/bonplandia/
Calamus (Ciudad Autónoma de Buenos Aires);;2545-627X;Ciencias sociales y humanidades;Sociedad Argtina de Estudios Medievales;https://www.caicyt-conicet.gov.ar/sitio/calamus-ciudad-autonoma-de-buenos-aires/
Cátedra paralela (En línea);;2683-9393;Ciencias sociales y humanidades;Facultad de Cicia Política y Relaciones Internacionales, Universidad Nacional de Rosario ;https://www.caicyt-conicet.gov.ar/sitio/catedra-paralela-en-linea/
CELEHIS (Mar del Plata);;2313-9463;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/celehis-mar-del-plata/
Ciclos en la historia, la economía y la sociedad;0327-4063;1851-3735;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ciclos-en-la-historia-la-economia-y-la-sociedad/
Ciencia del suelo;0326-3169;1850-2067;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/ciencia-del-suelo/
Ciencia veterinaria (En línea);;1853-8495;Ciencias biológicas y de la salud;Universidad Nacional de La Pampa ;https://www.caicyt-conicet.gov.ar/sitio/ciencia-veterinaria-en-linea/
Ciencia, docencia y tecnología;0327-5566;1851-1716;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ciencia-docencia-y-tecnologia/
Ciencia, tecnología y política (En línea);;2618-3188;Ciencias sociales y humanidades;Universidad Nacional de La Plata;https://www.caicyt-conicet.gov.ar/sitio/ciencia-tecnologia-y-politica-en-linea/
Ciencias administrativas;;2314-3738;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/ciencias-administrativas/
Ciencias agronómicas;1853-4333;2250-8872;Ciencias agrarias, ingeniería y materiales;;https://www.caicyt-conicet.gov.ar/sitio/ciencias-agronomicas/
Circe de clásicos y modernos;1514-3333;1851-1724;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/circe-de-clasicos-y-modernos/
Clepsidra (Ciudad Autónoma de Buenos Aires);;2362-2075;Ciencias sociales y humanidades;Instituto de Desarrollo Económico y Social Núcleo de Estudios sobre Memoria;https://www.caicyt-conicet.gov.ar/sitio/clepsidra-ciudad-autonoma-de-buenos-aires/
Clio y asociados (En línea);;2362-3063;Ciencias sociales y humanidades;Facultad de Formación Docte  Cicias, Universidad Nacional del Litoral;https://www.caicyt-conicet.gov.ar/sitio/clio-y-asociados-en-linea/
Colección – Escuela de Ciencias Políticas. Universidad Católica Argentina Santa María de los Buenos Aires;0328-7998;1850-003X;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/coleccion-escuela-de-ciencias-politicas-universidad-catolica-argentina-santa-maria-de-los-buenos-aires/
Comechingonia;0326-7911;1851-0027;Ciencias sociales y humanidades;;https://www.caicyt-conicet.gov.ar/sitio/comechingonia/
ConCienciaSocial (Córdoba);;2591-5339;Ciencias sociales y humanidades;Facultad de Cicias Sociales, Universidad Nacional de Córdoba;https://www.caicyt-conicet.gov.ar/sitio/concienciasocial-cordoba/
Confabulaciones (San Miguel de Tucumán);;2545-8736;Ciencias sociales y humanidades;Universidad Nacional de Tucumán;https://www.caicyt-conicet.gov.ar/sitio/confabulaciones-san-miguel-de-tucuman/
Confluencia de saberes;;2683-989X;Ciencias sociales y humanidades;Facultad de Cicias de la Educación, Universidad Nacional del Comahue;https://www.caicyt-conicet.gov.ar/sitio/confluencia-de-saberes/
